marka,raw_ilan_sayisi,train_ilan_sayisi,kayip_ilan_sayisi,retention_pct,benzersiz_model_sayisi,benzersiz_yil_sayisi,min_yil,max_yil,min_fiyat,median_fiyat,mean_fiyat,max_fiyat,fiyat_araligi,p10_fiyat,p90_fiyat,min_km,median_km,max_km,arabam_ilan_sayisi,kaggle_legacy_ilan_sayisi,current_scrape_ratio,synthetic_currently_used,current_synthetic_count,brand_support_level,models_with_n_le_2,models_with_n_3_5,models_with_n_6_10,models_with_n_11_20,models_with_n_gt_20,weak_model_count,weak_model_ratio,synthetic_priority,preliminary_synthetic_candidate,synthetic_reason
Saab,36,35,1,97.2,4,15,1989.0,2009.0,155000.0,530000.0,532640.0,900000.0,745000.0,325000.0,730000.0000000001,172500.0,289000.0,490000.0,21,14,60.0,False,0,MODERATE,2,1,0,0,1,3,75.0,HIGH,True,"Toplam gercek kayit dusuk (35), 75% model dusuk destekli (n<10)."
Cadillac,33,32,1,97.0,7,20,1992.0,2023.0,849750.0,2712500.0,5987018.75,27500000.0,26650250.0,1455000.0,14165000.000000004,25000.0,162500.0,375000.0,27,5,84.4,False,0,MODERATE,4,2,0,0,1,6,85.7,HIGH,True,"Toplam gercek kayit dusuk (32), 86% model dusuk destekli (n<10)."
Ferrari,30,29,1,96.7,11,14,2000.0,2025.0,6150000.0,21500000.0,25520862.068965517,59500000.0,53350000.0,8262000.0,46800000.0,0.0,39000.0,79000.0,11,18,37.9,True,8,MODERATE,6,4,1,0,0,11,100.0,CRITICAL,True,"Toplam gercek kayit dusuk (29), yuksek fiyat segmenti, 100% model dusuk destekli (n<10)."
Arora,21,20,1,95.2,8,3,2018.0,2026.0,24000.0,130000.0,132095.95,275000.0,251000.0,54063.0,214899.10000000006,0.0,0.0,6100.0,20,0,100.0,False,0,LOW,6,1,1,0,0,8,100.0,HIGH,True,"Toplam gercek kayit dusuk (20), 100% model dusuk destekli (n<10)."
Regal Raptor,20,19,1,95.0,5,5,2022.0,2026.0,99000.0,163000.0,165786.31578947368,235000.0,136000.0,128000.0,217000.0,0.0,0.0,6001.0,15,4,78.9,False,0,LOW,2,2,1,0,0,5,100.0,HIGH,True,"Toplam gercek kayit dusuk (19), 100% model dusuk destekli (n<10)."
Rolls-Royce,19,18,1,94.7,5,7,1997.0,2024.0,999999.0,31900000.0,35686111.05555555,79500000.0,78500001.0,24780000.0,56200000.0,0.0,13750.0,900000.0,6,12,33.3,True,12,LOW,2,1,2,0,0,5,100.0,CRITICAL,True,"Toplam gercek kayit dusuk (18), yuksek fiyat segmenti, 100% model dusuk destekli (n<10)."
Yuki,18,17,1,94.4,5,6,2014.0,2026.0,20850.0,375500.0,300377.64705882355,498780.0,477930.0,40600.0,459600.0,0.0,6050.0,13000.0,13,4,76.5,False,0,LOW,3,1,1,0,0,5,100.0,HIGH,True,"Toplam gercek kayit dusuk (17), 100% model dusuk destekli (n<10)."
Ikco,13,12,1,92.3,1,2,2008.0,2009.0,165000.0,261000.0,253083.25,300000.0,135000.0,202999.9,293500.0,80000.0,236000.0,317000.0,6,6,50.0,False,0,LOW,0,0,0,1,0,0,0.0,MEDIUM,True,"Toplam gercek kayit dusuk (12), 0% model dusuk destekli (n<10)."
Aston Martin,13,12,1,92.3,6,7,2000.0,2016.0,4650000.0,8070000.0,7837916.666666667,12900000.0,8250000.0,5275000.0,10327500.0,22000.0,54750.0,108000.0,2,10,16.7,True,6,LOW,5,0,1,0,0,6,100.0,CRITICAL,True,"Toplam gercek kayit dusuk (12), yuksek fiyat segmenti, 100% model dusuk destekli (n<10)."
Stmax,11,11,0,100.0,5,5,2017.0,2026.0,25000.0,99999.0,88709.0,140000.0,115000.0,38000.0,119900.0,0.0,0.0,12000.0,11,0,100.0,False,0,LOW,3,2,0,0,0,5,100.0,HIGH,True,"Toplam gercek kayit dusuk (11), 100% model dusuk destekli (n<10)."
Ortimobil,10,10,0,100.0,2,2,2025.0,2026.0,639900.0,792500.0,803490.0,945000.0,305100.0,680490.0,945000.0,0.0,0.0,6005.0,10,0,100.0,False,0,VERY_LOW,0,1,1,0,0,2,100.0,HIGH,True,"Toplam gercek kayit dusuk (10), 100% model dusuk destekli (n<10)."
Anadol,10,9,1,90.0,1,6,1972.0,1984.0,90000.0,165000.0,169444.44444444444,250000.0,160000.0,118000.0,210000.0,89056.0,140000.0,245000.0,0,9,0.0,False,0,VERY_LOW,0,0,1,0,0,1,100.0,CRITICAL,True,"Toplam gercek kayit dusuk (9), 100% model dusuk destekli (n<10)."
Skyjet,10,9,1,90.0,8,2,2025.0,2026.0,25000.0,89250.0,78635.0,114240.0,89240.0,31000.0,106848.0,0.0,0.0,7000.0,9,0,100.0,False,0,VERY_LOW,8,0,0,0,0,8,100.0,HIGH,True,"Toplam gercek kayit dusuk (9), 100% model dusuk destekli (n<10)."
Reeder,10,9,1,90.0,1,2,2025.0,2026.0,281500.0,350000.0,350500.0,410000.0,128500.0,296300.0,400400.0,6000.0,6010.0,6666.0,9,0,100.0,False,0,VERY_LOW,0,0,1,0,0,1,100.0,HIGH,True,"Toplam gercek kayit dusuk (9), 100% model dusuk destekli (n<10)."
Leapmotor,10,9,1,90.0,1,3,2022.0,2024.0,708888.0,979000.0,939654.2222222222,1095000.0,386112.0,777777.6,1059000.0,25000.0,51000.0,88000.0,8,1,88.9,False,0,VERY_LOW,0,0,1,0,0,1,100.0,HIGH,True,"Toplam gercek kayit dusuk (9), 100% model dusuk destekli (n<10)."
Apec,10,9,1,90.0,3,2,2025.0,2026.0,55000.0,61900.0,64620.0,75000.0,20000.0,60520.0,70992.0,0.0,0.0,6000.0,9,0,100.0,False,0,VERY_LOW,2,1,0,0,0,3,100.0,HIGH,True,"Toplam gercek kayit dusuk (9), 100% model dusuk destekli (n<10)."
RKS,8,7,1,87.5,3,2,2022.0,2023.0,200000.0,219000.0,222857.14285714287,250000.0,50000.0,206000.0,241000.0,6001.0,6001.0,6500.0,3,4,42.9,False,0,VERY_LOW,2,1,0,0,0,3,100.0,HIGH,True,"Toplam gercek kayit dusuk (7), 100% model dusuk destekli (n<10)."
Motolux,8,7,1,87.5,5,3,2024.0,2026.0,46999.0,78000.0,90569.85714285714,144000.0,97001.0,56599.6,141594.0,0.0,0.0,11251.0,7,0,100.0,False,0,VERY_LOW,4,1,0,0,0,5,100.0,HIGH,True,"Toplam gercek kayit dusuk (7), 100% model dusuk destekli (n<10)."
Nieve,8,7,1,87.5,2,2,2023.0,2026.0,442470.0,1150000.0,903072.8571428572,1253000.0,810530.0,469788.0,1251200.0,0.0,17000.0,34000.0,4,3,57.1,False,0,VERY_LOW,0,2,0,0,0,2,100.0,HIGH,True,"Toplam gercek kayit dusuk (7), 100% model dusuk destekli (n<10)."
Iveco - Otoyol,8,7,1,87.5,1,5,2016.0,2024.0,775000.0,1450000.0,1276985.7142857143,1525000.0,750000.0,837940.0,1525000.0,15000.0,89000.0,223000.0,7,0,100.0,False,0,VERY_LOW,0,0,1,0,0,1,100.0,HIGH,True,"Toplam gercek kayit dusuk (7), 100% model dusuk destekli (n<10)."
SFM,8,7,1,87.5,3,2,2025.0,2026.0,90000.0,110000.0,105998.57142857143,120000.0,30000.0,91200.0,119994.0,0.0,0.0,6001.0,7,0,100.0,False,0,VERY_LOW,2,1,0,0,0,3,100.0,HIGH,True,"Toplam gercek kayit dusuk (7), 100% model dusuk destekli (n<10)."
Falcon,7,6,1,85.7,3,4,2023.0,2026.0,45000.0,60000.0,73666.66666666667,115000.0,70000.0,47500.0,113500.0,0.0,0.0,6000.0,6,0,100.0,False,0,VERY_LOW,2,1,0,0,0,3,100.0,HIGH,True,"Toplam gercek kayit dusuk (6), 100% model dusuk destekli (n<10)."
Kimmi,7,6,1,85.7,3,2,2025.0,2026.0,90000.0,125950.0,123133.33333333333,139000.0,49000.0,106500.0,136950.0,0.0,0.0,0.0,6,0,100.0,False,0,VERY_LOW,2,1,0,0,0,3,100.0,HIGH,True,"Toplam gercek kayit dusuk (6), 100% model dusuk destekli (n<10)."
Lamborghini,7,6,1,85.7,3,5,2008.0,2020.0,13250000.0,23625000.0,26825000.0,46500000.0,33250000.0,14600000.0,42250000.0,17000.0,30000.0,97000.0,3,3,50.0,True,4,VERY_LOW,2,1,0,0,0,3,100.0,CRITICAL,True,"Toplam gercek kayit dusuk (6), yuksek fiyat segmenti, 100% model dusuk destekli (n<10)."
Kuba,7,6,1,85.7,4,4,2023.0,2026.0,50000.0,191800.0,170433.16666666666,279999.0,229999.0,55000.0,264499.5,0.0,3018.0,10000.0,5,1,83.3,False,0,VERY_LOW,3,1,0,0,0,4,100.0,HIGH,True,"Toplam gercek kayit dusuk (6), 100% model dusuk destekli (n<10)."
XEV,6,5,1,83.3,1,1,2022.0,2022.0,530000.0,576500.0,583600.0,650000.0,120000.0,537600.0,635000.0,6001.0,6350.0,20000.0,3,2,60.0,False,0,CRITICAL,0,1,0,0,0,1,100.0,HIGH,True,"Toplam gercek kayit dusuk (5), 100% model dusuk destekli (n<10)."
Acura,5,4,1,80.0,3,4,1996.0,2014.0,175000.0,500000.0,531250.0,950000.0,775000.0,272500.0,815000.0000000001,91000.0,350000.0,500000.0,1,3,25.0,False,0,CRITICAL,3,0,0,0,0,3,100.0,HIGH,True,"Toplam gercek kayit dusuk (4), 100% model dusuk destekli (n<10)."
Pontiac,5,4,1,80.0,1,2,1994.0,1997.0,2250000.0,2450000.0,2537500.0,3000000.0,750000.0,2280000.0,2865000.0,98000.0,101021.0,105000.0,2,2,50.0,False,0,CRITICAL,0,1,0,0,0,1,100.0,HIGH,True,"Toplam gercek kayit dusuk (4), 100% model dusuk destekli (n<10)."
Apachi,4,4,0,100.0,2,2,2023.0,2026.0,52900.0,107250.0,106725.0,159500.0,106600.0,53530.0,159500.0,0.0,0.0,0.0,4,0,100.0,False,0,CRITICAL,1,1,0,0,0,2,100.0,HIGH,True,"Toplam gercek kayit dusuk (4), 100% model dusuk destekli (n<10)."
Lincoln,4,3,1,75.0,2,3,1988.0,1999.0,700000.0,1199900.0,1249966.6666666667,1850000.0,1150000.0,799980.0,1719980.0,125000.0,130000.0,155000.0,2,1,66.7,False,0,CRITICAL,2,0,0,0,0,2,100.0,HIGH,True,"Toplam gercek kayit dusuk (3), 100% model dusuk destekli (n<10)."
