marka,model,raw_real_count,train_real_count,unique_year_count,min_year,max_year,min_km,median_km,max_km,min_price,median_price,max_price,price_cv,price_age_corr,current_hp_support,current_hp_source,current_hp_method,source_distribution,arabam_count,kaggle_count,in_ui_catalog,synthetic_candidate,priority,recommended_synthetic_count,reason,synthetic_safe,safety_reason,interpolation_year_range,interpolation_km_range,interpolation_price_range,exclude,second_wave_score,risk_notes,proposed_synthetic_count,current_scrape_ratio,actual,pred,abs_err,pct_err,confidence,hp_support_conf
Volta,VS2,3,3,3,2024.0,2026.0,0.0,6000.0,6001.0,36500.0,37500.0,38900.0,0.0262,-0.9962,3,brand_model,theil_sen,arabam=3,3,0,True,True,CRITICAL,5,"train support 3 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 3 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (3, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2024-2026,"0-6,001","36,500-38,900",False,90,yok,6,1.0,37500.0,146239.0473251813,108739.04732518131,289.9707928671502,n/a (motor_gucu bilinmiyor),
Subaru,BRZ,4,4,3,2012.0,2016.0,64900.0,105000.0,128000.0,1297500.0,1899500.0,2950000.0,0.3204,0.3647,4,brand_model,theil_sen,"arabam=2, kaggle=2",2,2,True,True,CRITICAL,8,"train support 4 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 2 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (4, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2012-2016,"64,900-128,000","1,297,500-2,950,000",False,90,yok,6,0.5,1549000.0,1771712.3060556215,222712.30605562148,14.377811882222174,low,4.0
Mazda,MX,12,4,4,1990.0,2018.0,72000.0,104000.0,152000.0,1199000.0,1325000.0,1420000.0,0.0654,0.2857,4,brand_model,theil_sen,"arabam=7, kaggle=5",7,5,True,True,CRITICAL,8,"train support 4 (3-7 bandi, +20); synthetic_safe=true (+15); 4 farkli yil (+10); 7 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (4, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,1990-2018,"72,000-152,000","1,199,000-1,420,000",False,90,yok,6,0.5833333333333334,1375000.0,1261830.6171663513,113169.3828336487,8.230500569719906,low,4.0
Volkswagen,Phaeton,3,3,3,2005.0,2009.0,122000.0,177000.0,178000.0,1849000.0,2500000.0,2850000.0,0.1728,-0.0187,3,brand_model,theil_sen,arabam=3,3,0,True,True,CRITICAL,5,"train support 3 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 3 guncel arabam- kayit (+15); premium/high-value (medyan 2,500,000 >= 2,393,000) (+10); dusuk hp_support/zayif fallback (3, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2005-2009,"122,000-178,000","1,849,000-2,850,000",False,90,"cok eski model (max_year=2009), dusuk ticari onem (-10)",6,1.0,2500000.0,2895248.8470389326,395248.8470389326,15.809953881557304,low,3.0
Lamborghini,Gallardo,3,3,2,2008.0,2012.0,29000.0,71450.0,97000.0,13250000.0,15950000.0,18750000.0,0.1405,-0.8851,3,brand_model,theil_sen,"arabam=2, kaggle=1",2,1,True,True,CRITICAL,9,"train support 3 (3-7 bandi, +20); synthetic_safe=true (+15); 2 guncel arabam- kayit (+15); premium/high-value (medyan 15,950,000 >= 2,393,000) (+10); dusuk hp_support/zayif fallback (3, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2008-2012,"29,000-97,000","13,250,000-18,750,000",False,80,yok,6,0.6666666666666666,15950000.0,16593222.250902716,643222.2509027161,4.032741384970007,low,3.0
DS Automobiles,DS 3 Crossback,4,4,4,2018.0,2021.0,80000.0,136000.0,169000.0,1385000.0,1781200.0,2165000.0,0.1555,-0.6342,4,brand_model,theil_sen,arabam=4,4,0,True,True,CRITICAL,8,"train support 4 (3-7 bandi, +20); synthetic_safe=true (+15); 4 farkli yil (+10); 4 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (4, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2018-2021,"80,000-169,000","1,385,000-2,165,000",False,80,yok,6,1.0,1809900.0,1721803.6215298064,88096.3784701936,4.867472151510779,low,4.0
Mercedes - Benz,560,3,3,3,1987.0,1989.0,153765.0,175400.0,230000.0,3500000.0,3695000.0,3950000.0,0.0496,0.4475,3,brand_model,theil_sen,"arabam=2, kaggle=1",2,1,True,True,CRITICAL,5,"train support 3 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 2 guncel arabam- kayit (+15); premium/high-value (medyan 3,695,000 >= 2,393,000) (+10); dusuk hp_support/zayif fallback (3, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,1987-1989,"153,765-230,000","3,500,000-3,950,000",False,80,"cok eski model (max_year=1989), dusuk ticari onem (-10)",6,0.6666666666666666,3695000.0,3693968.4831830505,1031.5168169494718,0.027916557968862568,low,3.0
Mazda,5,4,4,4,2006.0,2013.0,175000.0,255650.0,275000.0,534750.0,677500.0,750000.0,0.1268,-0.9349,4,brand_model,theil_sen,"arabam=2, kaggle=2",2,2,True,True,CRITICAL,8,"train support 4 (3-7 bandi, +20); synthetic_safe=true (+15); 4 farkli yil (+10); 2 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (4, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2006-2013,"175,000-275,000","534,750-750,000",False,80,yok,6,0.5,720000.0,744159.491847732,24159.491847731988,3.355484978851665,low,4.0
Alfa Romeo,Giulia,7,3,2,2017.0,2020.0,62000.0,93000.0,159000.0,2250000.0,2725000.0,2740000.0,0.0885,-0.9997,3,brand_model,theil_sen,"arabam=2, kaggle=5",2,5,True,True,CRITICAL,9,"train support 3 (3-7 bandi, +20); synthetic_safe=true (+15); 2 guncel arabam- kayit (+15); premium/high-value (medyan 2,725,000 >= 2,393,000) (+10); dusuk hp_support/zayif fallback (3, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2017-2020,"62,000-159,000","2,250,000-2,740,000",False,80,yok,6,0.2857142857142857,2725000.0,2654836.3687038515,70163.63129614852,2.5748121576568264,low,3.0
MG,EHS,5,5,3,2021.0,2024.0,30405.0,63000.0,100800.0,1660000.0,1850000.0,2258750.0,0.1139,-0.9313,5,brand_model,theil_sen,arabam=5,5,0,True,True,CRITICAL,10,"train support 5 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 5 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (5, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2021-2024,"30,405-100,800","1,660,000-2,258,750",False,80,yok,6,1.0,1850000.0,1986194.1774464792,136194.1774464792,7.3618474295394165,low,5.0
