marka,model,raw_real_count,train_real_count,unique_year_count,min_year,max_year,min_km,median_km,max_km,min_price,median_price,max_price,price_cv,price_age_corr,current_hp_support,current_hp_source,current_hp_method,source_distribution,arabam_count,kaggle_count,in_ui_catalog,synthetic_candidate,priority,recommended_synthetic_count,reason,synthetic_safe,safety_reason,interpolation_year_range,interpolation_km_range,interpolation_price_range,exclude,second_wave_score,risk_notes,proposed_synthetic_count,current_scrape_ratio
Mazda,CX-5,8,8,4,2012.0,2015.0,162000.0,203000.0,241000.0,885000.0,1145000.0,1550000.0,0.2215,-0.5067,8,brand_model,theil_sen,arabam=8,8,0,True,True,CRITICAL,10,"train support 8 (8-12 bandi, +12); synthetic_safe=true (+15); 4 farkli yil (+10); 8 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (8, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2012-2015,"162,000-241,000","885,000-1,550,000",False,82,yok,6,1.0
Ssangyong,Rodius,8,8,5,2008.0,2015.0,164000.0,253000.0,329350.0,628000.0,932500.0,1100000.0,0.204,-0.965,8,brand_model,theil_sen,arabam=8,8,0,True,True,CRITICAL,10,"train support 8 (8-12 bandi, +12); synthetic_safe=true (+15); 5 farkli yil (+10); 8 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (8, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2008-2015,"164,000-329,350","628,000-1,100,000",False,82,yok,6,1.0
Audi,TTS,9,9,5,2008.0,2016.0,69000.0,169000.0,248000.0,1199000.0,1555000.0,3845000.0,0.4302,-0.8972,9,brand_model,theil_sen,"arabam=4, kaggle=5",4,5,True,True,CRITICAL,11,"train support 9 (8-12 bandi, +12); synthetic_safe=true (+15); 5 farkli yil (+10); 4 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (9, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2008-2016,"69,000-248,000","1,199,000-3,845,000",False,82,yok,5,0.4444444444444444
Ford,Explorer,9,8,6,1997.0,2025.0,33000.0,216000.0,320000.0,430000.0,699875.0,1885000.0,0.5176,-0.8071,8,brand_model,theil_sen,arabam=9,9,0,True,True,CRITICAL,10,"train support 8 (8-12 bandi, +12); synthetic_safe=true (+15); 6 farkli yil (+10); 9 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (8, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,1997-2025,"33,000-320,000","430,000-1,885,000",False,82,yok,6,1.0
Mazda,RX,10,8,4,2004.0,2011.0,75000.0,106000.0,190000.0,760000.0,875000.0,1550000.0,0.3021,-0.6295,8,brand_model,theil_sen,arabam=10,10,0,True,True,HIGH,6,"train support 8 (8-12 bandi, +12); synthetic_safe=true (+15); 4 farkli yil (+10); 10 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (8, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2004-2011,"75,000-190,000","760,000-1,550,000",False,82,yok,6,1.0
Chevrolet,Camaro,31,9,8,1976.0,2012.0,121000.0,180000.0,260000.0,340000.0,2200000.0,2775000.0,0.347,0.1097,9,brand_model,theil_sen,"arabam=15, kaggle=16",15,16,True,True,HIGH,7,"train support 9 (8-12 bandi, +12); synthetic_safe=true (+15); 8 farkli yil (+10); 15 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (9, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,1976-2012,"121,000-260,000","340,000-2,775,000",False,82,yok,5,0.4838709677419355
Daewoo,Matiz,9,9,4,1999.0,2012.0,134100.0,204000.0,290000.0,110000.0,185000.0,320000.0,0.2977,-0.8337,9,brand_model,theil_sen,"arabam=5, kaggle=4",5,4,True,True,HIGH,7,"train support 9 (8-12 bandi, +12); synthetic_safe=true (+15); 4 farkli yil (+10); 5 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (9, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,1999-2012,"134,100-290,000","110,000-320,000",False,82,yok,5,0.5555555555555556
Audi,100 Serisi,9,9,6,1981.0,1992.0,128000.0,340000.0,446000.0,157500.0,260000.0,550000.0,0.403,0.133,9,brand_model,theil_sen,"arabam=6, kaggle=3",6,3,True,True,HIGH,7,"train support 9 (8-12 bandi, +12); synthetic_safe=true (+15); 6 farkli yil (+10); 6 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (9, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,1981-1992,"128,000-446,000","157,500-550,000",False,82,yok,5,0.6666666666666666
Peugeot,405,9,9,5,1991.0,1998.0,98000.0,275000.0,472000.0,95000.0,189577.0,365000.0,0.3864,-0.3822,9,brand_model,theil_sen,"arabam=5, kaggle=4",5,4,True,True,HIGH,7,"train support 9 (8-12 bandi, +12); synthetic_safe=true (+15); 5 farkli yil (+10); 5 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (9, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,1991-1998,"98,000-472,000","95,000-365,000",False,82,yok,5,0.5555555555555556
Ford,Mustang,27,9,7,1994.0,2007.0,59000.0,111500.0,256000.0,900000.0,1590000.0,2100000.0,0.3079,-0.8882,9,brand_model,theil_sen,"arabam=22, kaggle=5",22,5,True,True,HIGH,7,"train support 9 (8-12 bandi, +12); synthetic_safe=true (+15); 7 farkli yil (+10); 22 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (9, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,1994-2007,"59,000-256,000","900,000-2,100,000",False,82,yok,5,0.8148148148148148
Ford,Grand C-Max,10,9,4,2011.0,2015.0,155400.0,245000.0,340000.0,570000.0,750000.0,1150000.0,0.215,-0.4926,9,brand_model,theil_sen,"arabam=6, kaggle=4",6,4,True,True,CRITICAL,11,"train support 9 (8-12 bandi, +12); synthetic_safe=true (+15); 4 farkli yil (+10); 6 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (9, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2011-2015,"155,400-340,000","570,000-1,150,000",False,82,yok,5,0.6
Leapmotor,T03,10,9,3,2022.0,2024.0,25000.0,51000.0,88000.0,708888.0,979000.0,1095000.0,0.1293,-0.4825,9,brand_model,theil_sen,"arabam=9, kaggle=1",9,1,True,True,CRITICAL,11,"train support 9 (8-12 bandi, +12); synthetic_safe=true (+15); 3 farkli yil (+10); 9 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (9, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2022-2024,"25,000-88,000","708,888-1,095,000",False,82,yok,5,0.9
Mercedes - Benz,GLE Coupe,10,10,4,2015.0,2022.0,39180.0,195538.0,360000.0,2550000.0,3827500.0,10450000.0,0.4473,-0.8355,10,brand_model,theil_sen,arabam=10,10,0,True,True,MEDIUM,6,"train support 10 (8-12 bandi, +12); synthetic_safe=true (+15); 4 farkli yil (+10); 10 guncel arabam- kayit (+15); premium/high-value (medyan 3,827,500 >= 2,393,000) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2015-2022,"39,180-360,000","2,550,000-10,450,000",False,82,yok,5,1.0
Lexus,RX,10,10,6,2016.0,2023.0,46000.0,75000.0,216500.0,2750000.0,3837475.0,5580000.0,0.2052,-0.7027,10,brand_model,theil_sen,arabam=10,10,0,True,True,MEDIUM,6,"train support 10 (8-12 bandi, +12); synthetic_safe=true (+15); 6 farkli yil (+10); 10 guncel arabam- kayit (+15); premium/high-value (medyan 3,837,475 >= 2,393,000) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2016-2023,"46,000-216,500","2,750,000-5,580,000",False,82,yok,5,1.0
Audi,Q8,21,10,3,2018.0,2024.0,35000.0,105500.0,179000.0,7250000.0,7724500.0,8690000.0,0.0725,-0.8362,10,brand_model,theil_sen,arabam=21,21,0,True,True,MEDIUM,6,"train support 10 (8-12 bandi, +12); synthetic_safe=true (+15); 3 farkli yil (+10); 21 guncel arabam- kayit (+15); premium/high-value (medyan 7,724,500 >= 2,393,000) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2018-2024,"35,000-179,000","7,250,000-8,690,000",False,82,yok,5,1.0
Mercedes - Benz,CLE,12,12,3,2023.0,2025.0,6001.0,16500.0,44000.0,5600000.0,6710000.0,8500000.0,0.1129,-0.3948,12,brand_model,theil_sen,"arabam=9, kaggle=3",9,3,True,True,HIGH,9,"train support 12 (8-12 bandi, +12); synthetic_safe=true (+15); 3 farkli yil (+10); 9 guncel arabam- kayit (+15); premium/high-value (medyan 6,710,000 >= 2,393,000) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2023-2025,"6,001-44,000","5,600,000-8,500,000",False,82,yok,5,0.75
Dodge,Challenger,12,12,6,2012.0,2023.0,17000.0,37000.0,133000.0,4000000.0,7119500.0,9500000.0,0.2432,-0.6987,12,brand_model,theil_sen,"arabam=7, kaggle=5",7,5,True,True,HIGH,9,"train support 12 (8-12 bandi, +12); synthetic_safe=true (+15); 6 farkli yil (+10); 7 guncel arabam- kayit (+15); premium/high-value (medyan 7,119,500 >= 2,393,000) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2012-2023,"17,000-133,000","4,000,000-9,500,000",False,82,yok,5,0.5833333333333334
Jaguar,I-Pace,12,12,5,2018.0,2022.0,45000.0,95750.0,179999.0,2000000.0,2522500.0,3550000.0,0.1748,-0.8052,12,brand_model,theil_sen,arabam=12,12,0,True,True,LOW,0,"train support 12 (8-12 bandi, +12); synthetic_safe=true (+15); 5 farkli yil (+10); 12 guncel arabam- kayit (+15); premium/high-value (medyan 2,522,500 >= 2,393,000) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2018-2022,"45,000-179,999","2,000,000-3,550,000",False,82,yok,5,1.0
Proton,Waja,9,9,4,2006.0,2009.0,135000.0,303000.0,345000.0,160000.0,260000.0,340000.0,0.1929,-0.4779,9,brand_model,theil_sen,"arabam=3, kaggle=6",3,6,True,True,HIGH,7,"train support 9 (8-12 bandi, +12); synthetic_safe=true (+15); 4 farkli yil (+10); 3 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (9, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2006-2009,"135,000-345,000","160,000-340,000",False,82,yok,5,0.3333333333333333
Mercedes - Benz,AMG GT,16,10,6,2016.0,2023.0,25200.0,61500.0,149000.0,8740000.0,12150000.0,13500000.0,0.144,-0.0579,10,brand_model,theil_sen,"arabam=11, kaggle=5",11,5,True,True,MEDIUM,6,"train support 10 (8-12 bandi, +12); synthetic_safe=true (+15); 6 farkli yil (+10); 11 guncel arabam- kayit (+15); premium/high-value (medyan 12,150,000 >= 2,393,000) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2016-2023,"25,200-149,000","8,740,000-13,500,000",False,82,yok,5,0.6875
Audi,E-Tron,12,12,5,2019.0,2023.0,33000.0,65000.0,185000.0,2950000.0,3875450.0,5850000.0,0.1939,-0.0367,12,brand_model,theil_sen,arabam=12,12,0,True,True,MEDIUM,5,"train support 12 (8-12 bandi, +12); synthetic_safe=true (+15); 5 farkli yil (+10); 12 guncel arabam- kayit (+15); premium/high-value (medyan 3,875,450 >= 2,393,000) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2019-2023,"33,000-185,000","2,950,000-5,850,000",False,82,yok,5,1.0
Volvo,C40,10,10,3,2022.0,2024.0,18500.0,49750.0,82000.0,2325000.0,2557500.0,2915000.0,0.0822,-0.5519,10,brand_model,theil_sen,arabam=10,10,0,True,True,LOW,0,"train support 10 (8-12 bandi, +12); synthetic_safe=true (+15); 3 farkli yil (+10); 10 guncel arabam- kayit (+15); premium/high-value (medyan 2,557,500 >= 2,393,000) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2022-2024,"18,500-82,000","2,325,000-2,915,000",False,82,yok,5,1.0
Chevrolet,Blazer,5,5,5,1990.0,2005.0,176000.0,360903.0,513000.0,450008.0,585000.0,945000.0,0.2889,0.7157,5,brand_model,theil_sen,arabam=5,5,0,True,True,CRITICAL,6,"train support 5 (3-7 bandi, +20); synthetic_safe=true (+15); 5 farkli yil (+10); 5 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (5, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,1990-2005,"176,000-513,000","450,008-945,000",False,80,"cok eski model (max_year=2005), dusuk ticari onem (-10)",6,1.0
Saab,9-5,4,4,4,1998.0,2006.0,274500.0,339750.0,490000.0,300000.0,395000.0,615000.0,0.2715,-0.6026,4,brand_model,theil_sen,arabam=4,4,0,True,True,CRITICAL,4,"train support 4 (3-7 bandi, +20); synthetic_safe=true (+15); 4 farkli yil (+10); 4 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (4, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,1998-2006,"274,500-490,000","300,000-615,000",False,80,"cok eski model (max_year=2006), dusuk ticari onem (-10)",6,1.0
Citroen,C8,4,4,3,2003.0,2005.0,285000.0,343500.0,372000.0,200000.0,465000.0,490000.0,0.2935,-0.2193,4,brand_model,theil_sen,"arabam=2, kaggle=2",2,2,True,True,CRITICAL,4,"train support 4 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 2 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (4, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2003-2005,"285,000-372,000","200,000-490,000",False,80,"cok eski model (max_year=2005), dusuk ticari onem (-10)",6,0.5
Infiniti,Q50,3,3,2,2013.0,2016.0,150000.0,240000.0,290000.0,1325000.0,1399999.0,1950000.0,0.1788,-0.3816,3,brand_model,theil_sen,"arabam=2, kaggle=1",2,1,True,True,CRITICAL,9,"train support 3 (3-7 bandi, +20); synthetic_safe=true (+15); 2 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (3, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2013-2016,"150,000-290,000","1,325,000-1,950,000",False,80,yok,6,0.6666666666666666
Rover,820,3,3,3,1995.0,1998.0,225000.0,236000.0,285000.0,220000.0,295000.0,299937.0,0.1346,0.9594,3,brand_model,theil_sen,"arabam=2, kaggle=1",2,1,True,True,CRITICAL,5,"train support 3 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 2 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (3, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,1995-1998,"225,000-285,000","220,000-299,937",False,80,"cok eski model (max_year=1998), dusuk ticari onem (-10)",6,0.6666666666666666
Jaguar,Sovereign,4,4,3,1988.0,1995.0,145000.0,266000.0,285000.0,585000.0,1375000.0,1650000.0,0.3271,-0.5022,4,brand_model,theil_sen,"arabam=3, kaggle=1",3,1,True,True,CRITICAL,4,"train support 4 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 3 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (4, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,1988-1995,"145,000-285,000","585,000-1,650,000",False,80,"cok eski model (max_year=1995), dusuk ticari onem (-10)",6,0.75
Chevrolet,Corvette,24,4,3,1991.0,2000.0,99042.0,151750.0,201000.0,670000.0,863500.0,2500000.0,0.6071,0.1977,4,brand_model,theil_sen,"arabam=11, kaggle=13",11,13,True,True,CRITICAL,4,"train support 4 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 11 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (4, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10)",True,,1991-2000,"99,042-201,000","670,000-2,500,000",False,80,yok,6,0.4583333333333333
Chrysler,Neon,5,5,3,1995.0,2001.0,128506.0,205000.0,270000.0,99500.0,199000.0,485000.0,0.5323,-0.8705,5,brand_model,theil_sen,"arabam=3, kaggle=2",3,2,True,True,CRITICAL,6,"train support 5 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 3 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (5, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,1995-2001,"128,506-270,000","99,500-485,000",False,80,"cok eski model (max_year=2001), dusuk ticari onem (-10)",6,0.6
Buick,Regal,3,3,3,1990.0,1993.0,95000.0,115000.0,130000.0,590000.0,900000.0,950000.0,0.1958,-0.684,3,brand_model,theil_sen,"arabam=2, kaggle=1",2,1,True,True,CRITICAL,5,"train support 3 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 2 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (3, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,1990-1993,"95,000-130,000","590,000-950,000",False,80,"cok eski model (max_year=1993), dusuk ticari onem (-10)",6,0.6666666666666666
Honda,Legend,3,3,3,1988.0,2007.0,156000.0,250000.0,411000.0,456000.0,950000.0,1500000.0,0.4402,0.3519,3,brand_model,theil_sen,"arabam=1, kaggle=2",1,2,True,True,CRITICAL,5,"train support 3 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 1 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (3, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,1988-2007,"156,000-411,000","456,000-1,500,000",False,80,"cok eski model (max_year=2007), dusuk ticari onem (-10)",6,0.3333333333333333
Cadillac,Seville,3,3,3,1992.0,2001.0,79000.0,100000.0,287000.0,849750.0,2100000.0,3750000.0,0.5319,-0.5547,3,brand_model,theil_sen,"arabam=1, kaggle=2",1,2,True,True,CRITICAL,5,"train support 3 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 1 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (3, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,1992-2001,"79,000-287,000","849,750-3,750,000",False,80,"cok eski model (max_year=2001), dusuk ticari onem (-10)",6,0.3333333333333333
Chrysler,PT Cruiser,7,7,4,2001.0,2005.0,49000.0,210000.0,268000.0,425000.0,780000.0,1089000.0,0.3216,-0.5849,7,brand_model,theil_sen,"arabam=3, kaggle=4",3,4,True,True,CRITICAL,10,"train support 7 (3-7 bandi, +20); synthetic_safe=true (+15); 4 farkli yil (+10); 3 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (7, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2001-2005,"49,000-268,000","425,000-1,089,000",False,80,"cok eski model (max_year=2005), dusuk ticari onem (-10)",6,0.42857142857142855
Fiat,126 Bis,6,6,4,1978.0,1995.0,6000.0,139000.0,219000.0,95000.0,134950.0,165000.0,0.1808,-0.812,6,brand_model,theil_sen,"arabam=5, kaggle=1",5,1,True,True,HIGH,5,"train support 6 (3-7 bandi, +20); synthetic_safe=true (+15); 4 farkli yil (+10); 5 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (6, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,1978-1995,"6,000-219,000","95,000-165,000",False,80,"cok eski model (max_year=1995), dusuk ticari onem (-10)",6,0.8333333333333334
Rover,420,6,6,3,1997.0,1999.0,240000.0,325500.0,395000.0,165000.0,197000.0,240000.0,0.126,-0.0488,6,brand_model,theil_sen,"arabam=2, kaggle=4",2,4,True,True,HIGH,5,"train support 6 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 2 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (6, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,1997-1999,"240,000-395,000","165,000-240,000",False,80,"cok eski model (max_year=1999), dusuk ticari onem (-10)",6,0.3333333333333333
Rover,75,9,7,2,2000.0,2002.0,187000.0,289000.0,342000.0,375000.0,485000.0,627000.0,0.1592,-0.2896,7,brand_model,theil_sen,"arabam=4, kaggle=5",4,5,True,True,CRITICAL,10,"train support 7 (3-7 bandi, +20); synthetic_safe=true (+15); 4 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (7, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2000-2002,"187,000-342,000","375,000-627,000",False,80,yok,6,0.4444444444444444
Subaru,Justy,5,5,4,1990.0,1993.0,7000.0,175000.0,410000.0,105000.0,150000.0,190000.0,0.185,-0.1073,5,brand_model,theil_sen,"arabam=2, kaggle=3",2,3,True,True,CRITICAL,6,"train support 5 (3-7 bandi, +20); synthetic_safe=true (+15); 4 farkli yil (+10); 2 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (5, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,1990-1993,"7,000-410,000","105,000-190,000",False,80,"cok eski model (max_year=1993), dusuk ticari onem (-10)",6,0.4
Mercedes - Benz,R,7,7,3,2006.0,2008.0,200000.0,303000.0,475000.0,1125000.0,1430000.0,1475000.0,0.0809,-0.0003,7,brand_model,theil_sen,"arabam=5, kaggle=2",5,2,True,True,CRITICAL,10,"train support 7 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 5 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (7, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2006-2008,"200,000-475,000","1,125,000-1,475,000",False,80,"cok eski model (max_year=2008), dusuk ticari onem (-10)",6,0.7142857142857143
Alfa Romeo,GT,5,5,3,2006.0,2008.0,111000.0,200000.0,270000.0,475000.0,580000.0,700000.0,0.1397,0.9236,5,brand_model,theil_sen,"arabam=3, kaggle=2",3,2,True,True,CRITICAL,6,"train support 5 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 3 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (5, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2006-2008,"111,000-270,000","475,000-700,000",False,80,"cok eski model (max_year=2008), dusuk ticari onem (-10)",6,0.6
Chevrolet,Tahoe,6,5,3,1995.0,1997.0,177500.0,211000.0,277353.0,799000.0,1175000.0,2000000.0,0.3176,-0.4963,5,brand_model,theil_sen,arabam=6,6,0,True,True,CRITICAL,10,"train support 5 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 6 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (5, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,1995-1997,"177,500-277,353","799,000-2,000,000",False,80,"cok eski model (max_year=1997), dusuk ticari onem (-10)",6,1.0
Citroen,XM,3,3,3,1994.0,1997.0,78500.0,303000.0,373000.0,420000.0,450000.0,1450000.0,0.6189,-0.7226,3,brand_model,theil_sen,arabam=3,3,0,True,True,CRITICAL,5,"train support 3 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 3 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (3, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,1994-1997,"78,500-373,000","420,000-1,450,000",False,80,"cok eski model (max_year=1997), dusuk ticari onem (-10)",6,1.0
Pontiac,Firebird,5,4,2,1994.0,1997.0,98000.0,101021.0,105000.0,2250000.0,2450000.0,3000000.0,0.1135,0.9125,4,brand_model,theil_sen,"arabam=3, kaggle=2",3,2,True,True,CRITICAL,4,"train support 4 (3-7 bandi, +20); synthetic_safe=true (+15); 3 guncel arabam- kayit (+15); premium/high-value (medyan 2,450,000 >= 2,393,000) (+10); dusuk hp_support/zayif fallback (4, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,1994-1997,"98,000-105,000","2,250,000-3,000,000",False,80,"cok eski model (max_year=1997), dusuk ticari onem (-10)",6,0.6
