marka,model,train_real_count,raw_real_count,hp_support,hp_source,unique_year_count,year_range,km_range,min_price,median_price,max_price,arabam_count,kaggle_count,current_scrape_ratio,current_prediction_probe_error_pct,synthetic_safe,generation_consistency,engine_consistency,body_type_consistency,recommended_synthetic_count,candidate_priority,reason
Audi,200 Serisi,2,2,2,brand_model,2,1985-1990,"161,271-165,000",350000.0,925000.0,1500000.0,1,1,50.0,202.0,True,"INCELE (corr=nan, cv=0.6216)",OK (cv=0.04),OK (['Sedan']),0,REJECT,train_n=2; yetersiz demir (n<=2); probe hata %202.0
Audi,90 Serisi,3,3,3,brand_model,2,1986-1990,"180,100-445,000",185000.0,360000.0,400000.0,3,0,100.0,28.7,True,"OK (yasla aciklanan, corr=-0.99)",OK (cv=0.12),OK (['Sedan']),6,HIGH,train_n=3; probe hata %28.7
Audi,Q4 Sportback,5,5,5,brand_model,2,2024-2025,"17,000-40,000",3170000.0,3299000.0,3840000.0,5,0,100.0,12.2,True,"OK (dusuk varyans, cv=0.07)",N/A (tek/az veri),OK (['SUV']),6,HIGH,train_n=5; probe hata %12.2; premium segment
Audi,Q8 Sportback E-Tron,6,6,6,brand_model,2,2023-2024,"30,000-123,000",3675750.0,5294499.5,5999500.0,6,0,100.0,9.3,True,"OK (yasla aciklanan, corr=-0.46)",N/A (tek/az veri),OK (['SUV']),5,MEDIUM,train_n=6; probe hata %9.3; premium segment
Audi,TTS,9,9,9,brand_model,5,2008-2016,"69,000-248,000",1199000.0,1555000.0,3845000.0,4,5,44.4,57.8,True,"OK (yasla aciklanan, corr=-0.90)",OK (cv=0.06),"COKLU-VARYANT (['Coupe', 'Roadster'])",5,HIGH,train_n=9; probe hata %57.8
Audi,100 Serisi,9,9,9,brand_model,6,1981-1992,"128,000-446,000",157500.0,260000.0,550000.0,6,3,66.7,138.1,False,"INCELE (corr=0.133, cv=0.403)",HETEROJEN (cv=0.59),OK (['Sedan']),0,REJECT,train_n=9; motor heterojen: HETEROJEN (cv=0.59); probe hata %138.1
Audi,Q8 E-Tron,9,10,9,brand_model,2,2023-2024,"31,000-76,062",4750000.0,5100000.0,5400000.0,10,0,111.1,6.1,True,"OK (dusuk varyans, cv=0.05)",N/A (tek/az veri),OK (['SUV']),5,MEDIUM,train_n=9; probe hata %6.1; premium segment
Audi,RS,9,35,9,brand_model,4,2001-2016,"99,000-238,000",2400000.0,6395000.0,7999000.0,21,14,233.3,37.4,True,"OK (yasla aciklanan, corr=-0.41)",INCELE (cv=0.18),"HETEROJEN (['Station wagon', 'Sedan', 'Coupe', 'Hatchback/5'])",5,HIGH,train_n=9; probe hata %37.4; premium segment
Cadillac,CTS,1,1,1,brand_model,1,2007-2007,"143,000-143,000",1325000.0,1325000.0,1325000.0,1,0,100.0,13.7,False,"OK (dusuk varyans, cv=0.00)",N/A (tek/az veri),OK (['Sedan']),0,REJECT,train_n=1; yetersiz demir (n<=2); probe hata %13.7
Cadillac,Eldorado,1,1,1,brand_model,1,1993-1993,"110,500-110,500",2575000.0,2575000.0,2575000.0,0,1,0.0,2.0,False,"OK (dusuk varyans, cv=0.00)",N/A (tek/az veri),OK (['Coupe']),0,REJECT,train_n=1; yetersiz demir (n<=2); probe hata %2.0; premium segment
Cadillac,Fleetwood,1,1,1,brand_model,1,1993-1993,"163,000-163,000",1450000.0,1450000.0,1450000.0,0,1,0.0,32.2,False,"OK (dusuk varyans, cv=0.00)",N/A (tek/az veri),OK (['Sedan']),0,REJECT,train_n=1; yetersiz demir (n<=2); probe hata %32.2
Cadillac,DeVille,2,2,2,brand_model,2,1997-2002,"161,313-312,000",2250000.0,2254925.0,2259850.0,1,1,50.0,14.8,True,"OK (dusuk varyans, cv=0.00)",OK (cv=0.00),OK (['Sedan']),0,REJECT,train_n=2; yetersiz demir (n<=2); probe hata %14.8
Cadillac,SRX,3,3,3,brand_model,1,2005-2005,"162,000-192,000",1550000.0,1640000.0,1750000.0,3,0,100.0,1.2,False,"OK (dusuk varyans, cv=0.05)",OK (cv=0.03),OK (['SUV']),0,REJECT,train_n=3; probe hata %1.2
Cadillac,Seville,3,3,3,brand_model,3,1992-2001,"79,000-287,000",849750.0,2100000.0,3750000.0,1,2,33.3,0.1,True,"OK (yasla aciklanan, corr=-0.55)",OK (cv=0.04),OK (['Sedan']),6,MEDIUM,train_n=3; probe hata %0.1
